Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,tags,geo,source
1530701,"October 19, 2019",Illinois,Champaign,600 block of E Bradley Ave,0,0,['Shots Fired - No Injuries'],"['40.1275', ' -88.2305']",https://www.news-gazette.com/news/local/courts-police-fire/champaign-police-identify-suspect-in-friday-night-shooting/article_0f49917c-b68b-593f-9729-42a102ca10e0.html
1530534,"October 18, 2019",Illinois,Champaign,1800 block of W Kirby Ave,0,1,['Shot - Wounded/Injured'],"['40.0983', ' -88.2765']",https://www.wcia.com/news/shooting-suspect-arrested-4/
1530700,"October 18, 2019",Illinois,Champaign,200 block of Burr Oak Ct,0,0,['Shots Fired - No Injuries'],"['40.1261', ' -88.2354']",https://www.news-gazette.com/news/local/courts-police-fire/champaign-police-identify-suspect-in-friday-night-shooting/article_0f49917c-b68b-593f-9729-42a102ca10e0.html
1522204,"October 8, 2019",Illinois,Champaign,913 Crescent Dr,0,0,"['Non-Shooting Incident', 'School Incident', 'Gun at school, no death/injury - elementary/secondary school', 'Possession (gun(s) found during commission of other crimes)']","['40.1062', ' -88.2825']",https://www.news-gazette.com/news/local/courts-police-fire/teen-admits-having-loaded-gun-at-school/article_32397541-81ca-54be-8ccc-13d13d596586.html
1522616,"October 8, 2019",Illinois,Champaign,700 block of W Columbia Ave,0,0,"['Shots Fired - No Injuries', 'Brandishing/flourishing/open carry/lost/found']","['40.1212', ' -88.2531']",https://www.news-gazette.com/news/local/courts-police-fire/illini-union-director-arrested-for-allegedly-firing-gun-in-home/article_574383a1-8476-5571-8349-a47138f60496.html
1520728,"October 5, 2019",Illinois,Urbana,700 block of E Colorado Ave,1,1,"['Shot - Wounded/Injured', 'Shot - Dead (murder, accidental, suicide)']","['40.0947', ' -88.1986']",https://www.wcia.com/news/police-investigating-murder-after-1-dead-in-shooting/
1520747,"October 4, 2019",Illinois,Champaign,1900 block of W Bradley Ave,0,2,['Shot - Wounded/Injured'],"['40.1275', ' -88.2786']",https://www.news-gazette.com/news/local/courts-police-fire/police-identify-suspect-in-champaign-parking-lot-shooting-that-left/article_a9bf6ba6-1599-52e8-8af2-67028ce8ceb3.html
1515412,"September 29, 2019",Illinois,Champaign,1300 block of Summit Ridge Rd,0,1,"['Shot - Wounded/Injured', 'Drive-by (car to street, car to car)']","['40.1288', ' -88.2759']",https://www.news-gazette.com/news/police-evidence-suggests-man-was-walking-along-road-when-shot/article_2332633c-e2ec-11e9-a7e2-4f128c9f1d24.html
1505115,"September 16, 2019",Illinois,Urbana,101 W Windsor Rd,0,0,"['Non-Shooting Incident', 'Officer Involved Incident']","['40.0833', ' -88.209']",https://www.news-gazette.com/news/police-quick-to-respond-to-report-of-armed-individual-at/article_acc982ae-d8c1-11e9-b919-4725dba3d58f.html
1505360,"September 16, 2019",Illinois,Urbana,1800 block of S Cottage Grove Ave,0,1,['Shot - Wounded/Injured'],"['40.0973', ' -88.1952']",https://www.wandtv.com/news/shot-in-urbana-monday-night/article_1e13fd9c-d8de-11e9-961b-9b79905541b5.html
1501703,"September 11, 2019",Illinois,Champaign,1500 block of Holly Hill Dr,0,0,['Shots Fired - No Injuries'],"['40.1306', ' -88.2699']",https://www.news-gazette.com/news/police-investigating-garden-hills-neighborhood-shooting/article_cb5b49b6-d3e7-11e9-afda-d7f6398ca1cd.html
